Company,Position,Pay range,Notes,Date
,"Updated on June 25, 2025",,,
AC,Senior Production Coordinator,"65,000 - 70,200",TV,jun 2025
AC,2D Designer BG/Environment - Short-Term,"52,000 - 67,600",TV,oct 2024
AC,CG Senior Designer,"72,800 - 83,200",TV,jul 2024
AC,CG Designer,"49,400 - 72,800",TV,jul 2024
AC,CG Storyboard Artist,"78,000 - 88,400",TV,jun 2025
AC,CG Modeling Lead,"88,400 - 98,800",TV,nov 2023
AC,CG Senior Modeling Artist,"75,400 - 83,200",TV,sept 2024
AC,CG Senior Modeling Artist (3 Month Contract),"72,800 - 83,200",TV,jul 2024
AC,CG Modeling Artist,"52,000 - 83,200",TV,nov 2023
AC,CG Modeling Artist (3 Month Contract),"46,800 - 72,800",TV,jul 2024
AC,CG Senior Look Development Artist,"75,400 - 85,800",TV,jan 2024
AC,CG Look Development Artist,"52,000 - 83,200",TV,nov 2023
AC,CG Senior Texturing Artist,"75,400 - 85,800",TV,jan 2024
AC,CG Senior Texturing Artist (3 Month Contract),"72,800 - 83,200",TV,jul 2024
AC,CG Texturing Artist,"52,000 - 83,200",TV,nov 2023
AC,CG Texturing Artist (3 Month Contract),"46,800 - 72,800",TV,jul 2024
AC,CG Rigging Supervisor,"91,000 - 104,000",TV,jul 2024
AC,CG Lead Rigging Artist,"88,400 - 98,800",TV,nov 2023
AC,CG Senior Rigging Artist (2 Month Contract),"83,200 - 88,400",TV,jul 2024
AC,CG Rigging Artist (2 Month Contract),"59,800 - 83,200",TV,jul 2024
AC,CG Matte Painter,"62,400 - 93,600",TV,apr 2024
AC,CG Senior Layout Artist,"88,400 - 98,800",TV,mar 2024
AC,CG Layout Artist,"52,000 - 83,200",TV,mar 2024
AC,Lead Animator,"78,000 - 88,400",TV,sept 2024
AC,CG Animator (Short Term),"65,000 - 75,400",TV,dec 2024
AC,CG Lead FX Artist,"91,000 - 106,000",TV,aug 2024
AC,CG Senior FX Artist,"75,400 - 91,000",TV,apr 2024
AC,CG Senior FX Artist,"72,800 - 83,200",TV,aug 2024
AC,CG FX Artist,"52,000 - 72,800",TV,aug 2024
AC,CG FX Artist,"65,000 - 78,000",TV,dec 2024
